Share,Opening,Closing,High,Lowest,Avg,h-l,-161.8,-138.2,-1,-76.4,-61.8,-50,-38.2,-23.6,Avg ,23.6,38.2,50,61.8,76.4,1,138.2,161.8
BALAJITELE,84.01,34.38,94.8,29.61,65.128,65.19,54.580258,56.118742,-0.062,15.32284,24.84058,32.533,40.22542,49.74316,65.128,80.51284,90.03058,97.723,105.41542,114.93316,130.318,74.137258,75.675742
BALAMINES,1070,92.38,1093.8,91.11,668.788,1002.69,506.552758,530.216242,-333.902,-97.26716,49.12558,167.443,285.76042,432.15316,668.788,905.42284,1051.81558,1170.133,1288.45042,1434.84316,1671.478,807.359758,831.023242
BALAXI,21.98,1076.5,1099,20.95,445.058,1078.05,270.62951,296.07149,-632.992,-378.5722,-221.1769,-93.967,33.2429,190.6382,445.058,699.4778,856.8731,984.083,1111.2929,1268.6882,1523.108,594.04451,619.48649
BALKRISHNA,14.15,23.79,24.65,13.86,19.244,10.79,17.498178,17.752822,8.454,11.00044,12.57578,13.849,15.12222,16.69756,19.244,21.79044,23.36578,24.639,25.91222,27.48756,30.034,20.735178,20.989822
BALKRISIND,2067.2,16.88,2245,16.5,1292.372,2228.5,931.8007,984.3933,-936.128,-410.202,-84.841,178.122,441.085,766.446,1292.372,1818.298,2143.659,2406.622,2669.585,2994.946,3520.872,1600.3507,1652.9433
BALMLAWRIE,159.23,2268.9,2291,156.72,995.532,2134.28,650.205496,700.574504,-1138.748,-635.05792,-323.45304,-71.608,180.23704,491.84192,995.532,1499.22208,1810.82696,2062.672,2314.51704,2626.12192,3129.812,1290.489496,1340.858504
BALPHARMA,67,169.9,170.5,65.92,110.086,104.58,93.164956,95.633044,5.506,30.18688,45.45556,57.796,70.13644,85.40512,110.086,134.76688,150.03556,162.376,174.71644,189.98512,214.666,124.538956,127.007044
BALRAMCHIN,492,75.94,497.35,75,321.304,422.35,252.96777,262.93523,-101.046,-1.3714,60.2917,110.129,159.9663,221.6294,321.304,420.9786,482.6417,532.479,582.3163,643.9794,743.654,379.67277,389.64023
BALUFORGE,429.75,473.5,486.3,416.7,462.442,69.6,451.18072,452.82328,392.842,409.2676,419.4292,427.642,435.8548,446.0164,462.442,478.8676,489.0292,497.242,505.4548,515.6164,532.042,472.06072,473.70328
BANARBEADS,109.7,466.85,484.4,104,253.432,380.4,191.88328,200.86072,-126.968,-37.1936,18.3448,63.232,108.1192,163.6576,253.432,343.2064,398.7448,443.632,488.5192,544.0576,633.832,306.00328,314.98072
BANARISUG,3690,107.22,3694.7,106.15,2230.08,3588.55,1649.45261,1734.14239,-1358.47,-511.5722,12.3561,435.805,859.2539,1383.1822,2230.08,3076.9778,3600.9061,4024.355,4447.8039,4971.7322,5818.63,2726.01761,2810.70739
BANCOINDIA,527,3610,3689.5,510.2,1774.762,3179.3,1260.35126,1335.38274,-1404.538,-654.2232,-190.0454,185.112,560.2694,1024.4472,1774.762,2525.0768,2989.2546,3364.412,3739.5694,4203.7472,4954.062,2214.14126,2289.17274
BANDHANBNK,148,590.35,597,144.03,324.232,452.97,250.941454,261.631546,-128.738,-21.83708,44.29654,97.747,151.19746,217.33108,324.232,431.13292,497.26654,550.717,604.16746,670.30108,777.202,386.832454,397.522546
BANG,30.65,168.07,169.86,29.63,86.166,140.23,63.476786,66.786214,-54.064,-20.96972,-0.49614,16.051,32.59814,53.07172,86.166,119.26028,139.73386,156.281,172.82814,193.30172,226.396,105.545786,108.855214
BANK10ADD,15.33,35.5,36,15.26,23.4,20.74,20.044268,20.533732,2.66,7.55464,10.58268,13.03,15.47732,18.50536,23.4,28.29464,31.32268,33.77,36.21732,39.24536,44.14,26.266268,26.755732
BANKA,52.4,16.69,62.69,16.31,40.984,46.38,33.479716,34.574284,-5.396,5.54968,12.32116,17.794,23.26684,30.03832,40.984,51.92968,58.70116,64.174,69.64684,76.41832,87.364,47.393716,48.488284
BANKADD,52.6,69.11,69.11,52.03,59.44,17.08,56.676456,57.079544,42.36,46.39088,48.88456,50.9,52.91544,55.40912,59.44,63.47088,65.96456,67.98,69.99544,72.48912,76.52,61.800456,62.203544
BANKBARODA,252.61,56.93,277.28,55.8,179.976,221.48,144.140536,149.367464,-41.504,10.76528,43.10136,69.236,95.37064,127.70672,179.976,232.24528,264.58136,290.716,316.85064,349.18672,401.456,210.584536,215.811464
BANKBEES,536.5,276.19,577.72,272.31,439.762,305.41,390.346662,397.554338,134.352,206.42876,251.01862,287.057,323.09538,367.68524,439.762,511.83876,556.42862,592.467,628.50538,673.09524,745.172,481.969662,489.177338
BANKBETA,53.75,575.96,577,52.81,261.668,524.19,176.854058,189.224942,-262.522,-138.81316,-62.28142,-0.427,61.42742,137.95916,261.668,385.37684,461.90858,523.763,585.61742,662.14916,785.858,334.111058,346.481942
BANKBETF,52.21,57.8,61.79,51.3,55.11,10.49,53.412718,53.660282,44.62,47.09564,48.62718,49.865,51.10282,52.63436,55.11,57.58564,59.11718,60.355,61.59282,63.12436,65.6,56.559718,56.807282
BANKETF,527.32,56.66,566.29,55.45,346.352,510.84,263.698088,275.753912,-164.488,-43.92976,30.65288,90.932,151.21112,225.79376,346.352,466.91024,541.49288,601.772,662.05112,736.63376,857.192,416.950088,429.005912
BANKIETF,53.24,566.86,567.74,52.31,257.916,515.43,174.519426,186.683574,-257.514,-135.87252,-60.61974,0.201,61.02174,136.27452,257.916,379.55748,454.81026,515.631,576.45174,651.70452,773.346,329.148426,341.312574
BANKINDIA,140.38,57.2,147.5,55.91,107.796,91.59,92.976738,95.138262,16.206,37.82124,51.19338,62.001,72.80862,86.18076,107.796,129.41124,142.78338,153.591,164.39862,177.77076,199.386,120.453738,122.615262
BANKNIFTY1,53.95,147.93,148.55,52.9,91.748,95.65,76.27183,78.52917,-3.902,18.6714,32.6363,43.923,55.2097,69.1746,91.748,114.3214,128.2863,139.573,150.8597,164.8246,187.398,104.96683,107.22417
BANKPSU,82.11,59.18,87.79,56.58,73.368,31.21,68.318222,69.054778,42.158,49.52356,54.08022,57.763,61.44578,66.00244,73.368,80.73356,85.29022,88.973,92.65578,97.21244,104.578,77.681222,78.417778
BANSALWIRE,255,87.88,279,84.7,190.29,194.3,158.85226,163.43774,-4.01,41.8448,70.2126,93.14,116.0674,144.4352,190.29,236.1448,264.5126,287.44,310.3674,338.7352,384.59,217.14226,221.72774
BANSWRAS,104,272.52,274.54,102.05,170.644,172.49,142.735118,146.805882,-1.846,38.86164,64.04518,84.399,104.75282,129.93636,170.644,211.35164,236.53518,256.889,277.24282,302.42636,343.134,194.482118,198.552882
BASF,3311,112.56,3588,106.2,2064.402,3481.8,1501.04676,1583.21724,-1417.398,-595.6932,-87.3504,323.502,734.3544,1242.6972,2064.402,2886.1068,3394.4496,3805.302,4216.1544,4724.4972,5546.202,2545.58676,2627.75724
BASML,20.85,3610.6,3630,20.02,1443.85,3609.98,859.755236,944.950764,-2166.13,-1314.17472,-787.11764,-361.14,64.83764,591.89472,1443.85,2295.80528,2822.86236,3248.84,3674.81764,4201.87472,5053.83,1942.749236,2027.944764
BATAINDIA,657.15,22.71,709,21.63,415.898,687.37,304.681534,320.903466,-271.472,-109.25268,-8.89666,72.213,153.32266,253.67868,415.898,578.11732,678.47334,759.583,840.69266,941.04868,1103.268,510.892534,527.114466
BAYERCROP,4779.9,715.45,4820,687,3105.054,4133,2436.3346,2533.8734,-1027.946,-52.558,550.86,1038.554,1526.248,2129.666,3105.054,4080.442,4683.86,5171.554,5659.248,6262.666,7238.054,3676.2346,3773.7734
BBETF0432,1304.36,4805.3,4875,1291.01,2703.418,3583.99,2123.528418,2208.110582,-880.572,-34.75036,488.51218,911.423,1334.33382,1857.59636,2703.418,3549.23964,4072.50218,4495.413,4918.32382,5441.58636,6287.408,3198.725418,3283.307582
BBL,2258.5,1312.18,2521.5,1298.65,1926.5,1222.85,1728.64287,1757.50213,703.65,992.2426,1170.7787,1315.075,1459.3713,1637.9074,1926.5,2215.0926,2393.6287,2537.925,2682.2213,2860.7574,3149.35,2095.49787,2124.35713
BBNPNBETF,52.97,2464.5,2488.3,51.63,1006.75,2436.67,612.496794,670.002206,-1429.92,-854.86588,-499.11206,-211.585,75.94206,431.69588,1006.75,1581.80412,1937.55794,2225.085,2512.61206,2868.36588,3443.42,1343.497794,1401.003206
BBNPPGOLD,141.5,56.09,147.25,55.1,108.472,92.15,93.56213,95.73687,16.322,38.0694,51.5233,62.397,73.2707,86.7246,108.472,130.2194,143.6733,154.547,165.4207,178.8746,200.622,121.20713,123.38187
BBOX,472,144.3,501.6,143.05,345.63,358.55,287.61661,296.07839,-12.92,71.6978,124.0461,166.355,208.6639,261.0122,345.63,430.2478,482.5961,524.905,567.2139,619.5622,704.18,395.18161,403.64339
BBTC,1410,523.75,1495.7,485.5,1064.974,1010.2,901.52364,925.36436,54.774,293.1812,440.6704,559.874,679.0776,826.5668,1064.974,1303.3812,1450.8704,1570.074,1689.2776,1836.7668,2075.174,1204.58364,1228.42436
BBTCL,171.55,1487.4,1502,168,696.282,1334,480.4408,511.9232,-637.718,-322.894,-128.13,29.282,186.694,381.458,696.282,1011.106,1205.87,1363.282,1520.694,1715.458,2030.282,880.6408,912.1232
BCLIND,29.49,178.07,183.99,29.07,89.858,154.92,64.791944,68.448056,-65.062,-28.50088,-5.88256,12.398,30.67856,53.29688,89.858,126.41912,149.03744,167.318,185.59856,208.21688,244.778,111.267944,114.924056
BCONCEPTS,220,32.4,244.99,31.8,151.498,213.19,117.003858,122.035142,-61.692,-11.37916,19.74658,44.903,70.05942,101.18516,151.498,201.81084,232.93658,258.093,283.24942,314.37516,364.688,180.960858,185.992142
BCPL,69.8,249.18,257,65.58,140.718,191.42,109.746244,114.263756,-50.702,-5.52688,22.42044,45.008,67.59556,95.54288,140.718,185.89312,213.84044,236.428,259.01556,286.96288,332.138,167.172244,171.689756
BDL,1189.8,66.64,1294.9,66.02,769.774,1228.88,570.941216,599.942784,-459.106,-169.09032,10.32616,155.334,300.34184,479.75832,769.774,1059.78968,1239.20616,1384.214,1529.22184,1708.63832,1998.654,939.605216,968.606784
BEARDSELL,24,1345.9,1362,22.35,548.068,1339.65,331.31263,362.92837,-791.582,-475.4246,-279.8357,-121.757,36.3217,231.9106,548.068,864.2254,1059.8143,1217.893,1375.9717,1571.5606,1887.718,733.20763,764.82337
BECTORFOOD,190.11,25.09,199.02,24.12,123.102,174.9,94.80318,98.93082,-51.798,-10.5216,15.0138,35.652,56.2902,81.8256,123.102,164.3784,189.9138,210.552,231.1902,256.7256,298.002,147.27318,151.40082
BEL,422,192.85,440,188.1,333.688,251.9,292.93058,298.87542,81.788,141.2364,178.0138,207.738,237.4622,274.2396,333.688,393.1364,429.9138,459.638,489.3622,526.1396,585.588,368.50058,374.44542
BELLACASA,262,442.45,447.45,249.46,340.506,197.99,308.471218,313.143782,142.516,189.24164,218.14818,241.511,264.87382,293.78036,340.506,387.23164,416.13818,439.501,462.86382,491.77036,538.496,367.868218,372.540782
BELRISE,193,284.44,288.99,188.8,228.34,100.19,212.129258,214.493742,128.15,151.79484,166.42258,178.245,190.06742,204.69516,228.34,251.98484,266.61258,278.435,290.25742,304.88516,328.53,242.186258,244.550742
BEML,1482,206.09,1595,193.39,998.206,1401.61,771.425502,804.503498,-403.404,-72.62404,132.01102,297.401,462.79098,667.42604,998.206,1328.98596,1533.62102,1699.011,1864.40098,2069.03604,2399.816,1191.908502,1224.986498
BEPL,87.1,1621.2,1655,85.1,700.506,1569.9,446.49618,483.54582,-869.394,-498.8976,-269.6922,-84.444,100.8042,330.0096,700.506,1071.0024,1300.2078,1485.456,1670.7042,1899.9096,2270.406,917.46618,954.51582
BERGEPAINT,422.6,91.33,450.4,89.48,295.35,360.92,236.953144,245.470856,-65.57,19.60712,72.30144,114.89,157.47856,210.17288,295.35,380.52712,433.22144,475.81,518.39856,571.09288,656.27,345.229144,353.746856
BETA,1270,454,1664.6,428.95,1061.766,1235.65,861.83783,890.99917,-173.884,117.7294,298.1343,443.941,589.7477,770.1526,1061.766,1353.3794,1533.7843,1679.591,1825.3977,2005.8026,2297.416,1232.53283,1261.69417
BFINVEST,355.5,1394.4,1495,346.75,789.442,1148.25,603.65515,630.75385,-358.808,-87.821,79.8235,215.317,350.8105,518.455,789.442,1060.429,1228.0735,1363.567,1499.0605,1666.705,1937.692,948.13015,975.22885
BFSI,24.69,393.7,394.4,24.65,170.6,369.75,110.77445,119.50055,-199.15,-111.889,-57.9055,-14.275,29.3555,83.339,170.6,257.861,311.8445,355.475,399.1055,453.089,540.35,221.69945,230.42555
BHAGCHEM,197.24,27.1,229.95,26.43,140.228,203.52,107.298464,112.101536,-63.292,-15.26128,14.45264,38.468,62.48336,92.19728,140.228,188.25872,217.97264,241.988,266.00336,295.71728,343.748,168.354464,173.157536
BHAGERIA,147.81,222.36,231.99,145.36,181.732,86.63,167.715266,169.759734,95.102,115.54668,128.19466,138.417,148.63934,161.28732,181.732,202.17668,214.82466,225.047,235.26934,247.91732,268.362,193.704266,195.748734
BHAGYANGR,150,160.75,168,148.55,157.274,19.45,154.12699,154.58601,137.824,142.4142,145.2539,147.549,149.8441,152.6838,157.274,161.8642,164.7039,166.999,169.2941,172.1338,176.724,159.96199,160.42101
BHANDARI,3.1,182.19,194.08,2.83,76.344,191.25,45.39975,49.91325,-114.906,-69.771,-41.8485,-19.281,3.2865,31.209,76.344,121.479,149.4015,171.969,194.5365,222.459,267.594,102.77475,107.28825
BHARATCOAL,32.16,3.15,33.89,3.01,20.918,30.88,15.921616,16.650384,-9.962,-2.67432,1.83416,5.478,9.12184,13.63032,20.918,28.20568,32.71416,36.358,40.00184,44.51032,51.798,25.185616,25.914384
BHARATFORG,1637,32.74,1791.4,32.38,1027.49,1759.02,742.880564,784.393436,-731.53,-316.40128,-59.58436,147.98,355.54436,612.36128,1027.49,1442.61872,1699.43564,1907,2114.56436,2371.38128,2786.51,1270.586564,1312.099436
BHARATGEAR,90.1,1798.8,1805,89.01,764.46,1715.99,486.812818,527.310182,-951.53,-546.55636,-296.02182,-93.535,108.95182,359.48636,764.46,1169.43364,1419.96818,1622.455,1824.94182,2075.47636,2480.45,1001.609818,1042.107182
BHARATRAS,1410,101.95,1451,98.18,868.196,1352.82,649.309724,681.236276,-484.624,-165.35848,32.15324,191.786,351.41876,548.93048,868.196,1187.46152,1384.97324,1544.606,1704.23876,1901.75048,2221.016,1055.155724,1087.082276
BHARATSE,156.25,1570,1608,152.1,704.544,1455.9,468.97938,503.33862,-751.356,-407.7636,-195.2022,-23.406,148.3902,360.9516,704.544,1048.1364,1260.6978,1432.494,1604.2902,1816.8516,2160.444,905.74938,940.10862
BHARATWIRE,157.25,176.93,182.75,157,169.882,25.75,165.71565,166.32335,144.132,150.209,153.9685,157.007,160.0455,163.805,169.882,175.959,179.7185,182.757,185.7955,189.555,195.632,173.44065,174.04835
BHARTIARTL,1812.1,171.6,1871.5,168.67,1160.614,1702.83,885.096106,925.282894,-542.216,-140.34812,108.26506,309.199,510.13294,758.74612,1160.614,1562.48188,1811.09506,2012.029,2212.96294,2461.57612,2863.444,1395.945106,1436.131894
BHARTIHEXA,1506.9,1870,1874.6,1496,1662.828,378.6,1601.57052,1610.50548,1284.228,1373.5776,1428.8532,1473.528,1518.2028,1573.4784,1662.828,1752.1776,1807.4532,1852.128,1896.8028,1952.0784,2041.428,1715.15052,1724.08548
BHEL,249.41,1523.7,1554.8,239.17,764.15,1315.63,551.281066,582.329934,-551.48,-240.99132,-48.90934,106.335,261.57934,453.66132,764.15,1074.63868,1266.72066,1421.965,1577.20934,1769.29132,2079.78,945.970066,977.018934
BIGBLOC,46.11,284.71,286.18,45.07,140.376,241.11,101.364402,107.054598,-100.734,-43.83204,-8.62998,19.821,48.27198,83.47404,140.376,197.27796,232.48002,260.931,289.38198,324.58404,381.486,173.697402,179.387598
BIKAJI,626,50.13,645.05,47.1,399.114,597.95,302.36569,316.47731,-198.836,-57.7198,29.5809,100.139,170.6971,257.9978,399.114,540.2302,627.5309,698.089,768.6471,855.9478,997.064,481.75069,495.86231
BIL,715.6,640.6,887.2,634.25,719.486,252.95,678.55869,684.52831,466.536,526.2322,563.1629,593.011,622.8591,659.7898,719.486,779.1822,816.1129,845.961,875.8091,912.7398,972.436,754.44369,760.41331
BIOCON,353.95,747.05,758.8,337.7,503.73,421.1,435.59602,445.53398,82.63,182.0096,243.4902,293.18,342.8698,404.3504,503.73,603.1096,664.5902,714.28,763.9698,825.4504,924.83,561.92602,571.86398
BIOFILCHEM,27.98,348.6,351.95,27.65,157.762,324.3,105.29026,112.94374,-166.538,-90.0032,-42.6554,-4.388,33.8794,81.2272,157.762,234.2968,281.6446,319.912,358.1794,405.5272,482.062,202.58026,210.23374
BIRLACABLE,114.67,33.2,127.02,32.26,85.308,94.76,69.975832,72.212168,-9.452,12.91136,26.74632,37.928,49.10968,62.94464,85.308,107.67136,121.50632,132.688,143.86968,157.70464,180.068,98.403832,100.640168
BIRLACORPN,884.45,130.66,943,124.06,590.078,818.94,457.573508,476.900492,-228.862,-35.59216,83.97308,180.608,277.24292,396.80816,590.078,783.34784,902.91308,999.548,1096.18292,1215.74816,1409.018,703.255508,722.582492
BIRLAMONEY,111,945.4,951,109.2,443.932,841.8,307.72876,327.59524,-397.868,-199.2032,-76.3004,23.032,122.3644,245.2672,443.932,642.5968,765.4996,864.832,964.1644,1087.0672,1285.732,560.26876,580.13524
BIRLANU,1385.1,131.76,1479,123.5,897.768,1355.5,678.4481,710.4379,-457.732,-137.834,60.069,220.018,379.967,577.87,897.768,1217.666,1415.569,1575.518,1735.467,1933.37,2253.268,1085.0981,1117.0879
BLACKBUCK,572.25,1427.6,1480,559,914.258,921,765.2402,786.9758,-6.742,210.614,345.08,453.758,562.436,696.902,914.258,1131.614,1266.08,1374.758,1483.436,1617.902,1835.258,1041.5402,1063.2758
BLAL,169.43,577.9,586,163,329.228,423,260.7866,270.7694,-93.772,6.056,67.814,117.728,167.642,229.4,329.228,429.056,490.814,540.728,590.642,652.4,752.228,387.6866,397.6694
BLISSGVS,235.09,172.93,254.85,169.23,213.44,85.62,199.586684,201.607316,127.82,148.02632,160.52684,170.63,180.73316,193.23368,213.44,233.64632,246.14684,256.25,266.35316,278.85368,299.06,225.272684,227.293316
BLKASHYAP,45.86,258.96,264.9,44.35,131.126,220.55,95.44101,100.64599,-89.424,-37.3742,-5.1739,20.851,46.8759,79.0762,131.126,183.1758,215.3761,241.401,267.4259,299.6262,351.676,161.60601,166.81099
BLS,267.67,49.86,305.75,47.21,186.14,258.54,144.308228,150.409772,-72.4,-11.38456,26.36228,56.87,87.37772,125.12456,186.14,247.15544,284.90228,315.41,345.91772,383.66456,444.68,221.870228,227.971772
BLSE,158.06,288.48,304.93,155.31,214.194,149.62,189.985484,193.516516,64.574,99.88432,121.72884,139.384,157.03916,178.88368,214.194,249.50432,271.34884,289.004,306.65916,328.50368,363.814,234.871484,238.402516
BLUECOAST,21,162.01,166.99,20,78.124,146.99,54.341018,57.809982,-68.866,-34.17636,-12.71582,4.629,21.97382,43.43436,78.124,112.81364,134.27418,151.619,168.96382,190.42436,225.114,98.438018,101.906982
BLUEDART,4924,23.7,5120,21.86,2955.434,5098.14,2130.554948,2250.871052,-2142.706,-939.54496,-195.21652,406.364,1007.94452,1752.27296,2955.434,4158.59504,4902.92348,5504.504,6106.08452,6850.41296,8053.574,3659.996948,3780.313052
BLUEJET,356.9,5170.6,5185,348.8,2250.488,4836.2,1467.99084,1582.12516,-2585.712,-1444.3688,-738.2836,-167.612,403.0596,1109.1448,2250.488,3391.8312,4097.9164,4668.588,5239.2596,5945.3448,7086.688,2918.85084,3032.98516
BLUESTARCO,1527,406.85,1630.1,363.3,1090.848,1266.8,885.87976,915.77624,-175.952,123.0128,307.9656,457.448,606.9304,791.8832,1090.848,1389.8128,1574.7656,1724.248,1873.7304,2058.6832,2357.648,1265.91976,1295.81624
BLUESTONE,427.55,1690,1696.3,410.05,922.724,1286.25,714.60875,744.96425,-363.526,-59.971,127.8215,279.599,431.3765,619.169,922.724,1226.279,1414.0715,1565.849,1717.6265,1905.419,2208.974,1100.48375,1130.83925
BLUSPRING,58.61,495.1,507,57.32,232.534,449.68,159.775776,170.388224,-217.146,-111.02152,-45.36824,7.694,60.75624,126.40952,232.534,338.65848,404.31176,457.374,510.43624,576.08952,682.214,294.679776,305.292224
BMWVENTLTD,54.64,64.61,66.97,52.2,59.144,14.77,56.754214,57.102786,44.374,47.85972,50.01614,51.759,53.50186,55.65828,59.144,62.62972,64.78614,66.529,68.27186,70.42828,73.914,61.185214,61.533786
BODALCHEM,55.7,57.96,67.7,55.67,60.77,12.03,58.823546,59.107454,48.74,51.57908,53.33546,54.755,56.17454,57.93092,60.77,63.60908,65.36546,66.785,68.20454,69.96092,72.8,62.432546,62.716454
BOMDYEING,103,64.8,107.8,63.36,88.17,44.44,80.979608,82.028392,43.73,54.21784,60.70608,65.95,71.19392,77.68216,88.17,98.65784,105.14608,110.39,115.63392,122.12216,132.61,94.311608,95.360392
BOROLTD,244,108.56,253,105.1,189.212,147.9,165.28178,168.77222,41.312,76.2164,97.8098,115.262,132.7142,154.3076,189.212,224.1164,245.7098,263.162,280.6142,302.2076,337.112,209.65178,213.14222
BORORENEW,414.85,249.16,449.45,240.2,353.89,209.25,320.03335,324.97165,144.64,194.023,224.5735,249.265,273.9565,304.507,353.89,403.273,433.8235,458.515,483.2065,513.757,563.14,382.80835,387.74665
BOROSCI,109.2,467.55,475.8,109,251.912,366.8,192.56376,201.22024,-114.888,-28.3232,25.2296,68.512,111.7944,165.3472,251.912,338.4768,392.0296,435.312,478.5944,532.1472,618.712,302.60376,311.26024
BOSCH-HCIL,1145.5,116.04,1276.8,113.25,754.99,1163.55,566.72761,594.18739,-408.56,-133.9622,35.9161,173.215,310.5139,480.3922,754.99,1029.5878,1199.4661,1336.765,1474.0639,1643.9422,1918.54,915.79261,943.25239
BOSCHLTD,32155,1334.8,36300,1284.7,20862.216,35015.3,15196.74046,16023.10154,-14153.084,-5889.4732,-777.2394,3354.566,7486.3714,12598.6052,20862.216,29125.8268,34238.0606,38369.866,42501.6714,47613.9052,55877.516,25701.33046,26527.69154
BPCL,277.75,37330,37670,271,14974.22,37399,8923.0618,9805.6782,-22424.78,-13598.616,-8138.362,-3725.28,687.802,6148.056,14974.22,23800.384,29260.638,33673.72,38086.802,43547.056,52373.22,20142.7618,21025.3782
BPL,46,299.35,303.2,43.77,146.98,259.43,105.004226,111.126774,-112.45,-51.22452,-13.34774,17.265,47.87774,85.75452,146.98,208.20548,246.08226,276.695,307.30774,345.18452,406.41,182.833226,188.955774
BRIGADE,688,50.22,735,47,440.518,688,329.1996,345.4364,-247.482,-85.114,15.334,96.518,177.702,278.15,440.518,602.886,703.334,784.518,865.702,966.15,1128.518,535.5996,551.8364
BRIGHOTEL,58.1,723.2,728.85,57.76,321.482,671.09,212.899638,228.737362,-349.608,-191.23076,-93.25162,-14.063,65.12562,163.10476,321.482,479.85924,577.83838,657.027,736.21562,834.19476,992.572,414.226638,430.064362
BRITANNIA,5420,63.12,5698.5,62.05,3345.524,5636.45,2433.54639,2566.56661,-2290.926,-960.7238,-137.8021,527.299,1192.4001,2015.3218,3345.524,4675.7262,5498.6479,6163.749,6828.8501,7651.7718,8981.974,4124.48139,4257.50161
BRNL,18.5,5557.5,5659.5,18.07,2216.938,5641.43,1304.154626,1437.292374,-3424.492,-2093.11452,-1269.46574,-603.777,61.91174,885.56052,2216.938,3548.31548,4371.96426,5037.653,5703.34174,6526.99052,7858.368,2996.583626,3129.721374
BROOKS,56.25,20.52,79.7,20.11,49.368,59.59,39.726338,41.132662,-10.222,3.84124,12.54138,19.573,26.60462,35.30476,49.368,63.43124,72.13138,79.163,86.19462,94.89476,108.958,57.603338,59.009662
BSE,2851.4,72.2,3208.6,69.91,1835.62,3138.69,1327.779958,1401.853042,-1303.07,-562.33916,-104.09042,266.275,636.64042,1094.88916,1835.62,2576.35084,3034.59958,3404.965,3775.33042,4233.57916,4974.31,2269.386958,2343.460042
BSE500IETF,35.29,3281.2,3330,35.17,1322.934,3294.83,789.830506,867.588494,-1971.896,-1194.31612,-713.27094,-324.481,64.30894,545.35412,1322.934,2100.51388,2581.55906,2970.349,3359.13894,3840.18412,4617.764,1778.279506,1856.037494
BSHSL,89.95,37.81,122,36.92,79.542,85.08,65.776056,67.783944,-5.538,14.54088,26.96256,37.002,47.04144,59.46312,79.542,99.62088,112.04256,122.082,132.12144,144.54312,164.622,91.300056,93.307944
BSL,113.76,98.48,121.15,90.05,107.168,31.1,102.13602,102.86998,76.068,83.4076,87.9482,91.618,95.2878,99.8284,107.168,114.5076,119.0482,122.718,126.3878,130.9284,138.268,111.46602,112.19998
BSLGOLDETF,131.26,117.14,133.44,111.55,124.518,21.89,120.976198,121.492802,102.628,107.79404,110.98998,113.573,116.15602,119.35196,124.518,129.68404,132.87998,135.463,138.04602,141.24196,146.408,127.543198,128.059802
BSLNIFTY,26.05,131.36,132.24,26.05,68.634,106.19,51.452458,53.958542,-37.556,-12.49516,3.00858,15.539,28.06942,43.57316,68.634,93.69484,109.19858,121.729,134.25942,149.76316,174.824,83.309458,85.815542
BSLSENETFG,74.47,27.97,77.87,27.4,56.2,50.47,48.033954,49.225046,5.73,17.64092,25.00954,30.965,36.92046,44.28908,56.2,68.11092,75.47954,81.435,87.39046,94.75908,106.67,63.174954,64.366046
BSOFT,367,77.55,383,76.28,252.992,306.72,203.364704,210.603296,-53.728,18.65792,63.43904,99.632,135.82496,180.60608,252.992,325.37792,370.15904,406.352,442.54496,487.32608,559.712,295.380704,302.619296
BTML,6.22,366,380,6.1,152.092,373.9,91.59498,100.41902,-221.808,-133.5676,-78.9782,-34.858,9.2622,63.8516,152.092,240.3324,294.9218,339.042,383.1622,437.7516,525.992,203.76498,212.58902
BUILDPRO,1016.8,6.7,1147.85,6.26,658.434,1141.59,473.724738,500.666262,-483.156,-213.74076,-47.06862,87.639,222.34662,389.01876,658.434,927.84924,1094.52138,1229.229,1363.93662,1530.60876,1800.024,816.201738,843.143262
BUTTERFLY,604.3,1071.8,1144,595.25,810.208,548.75,721.42025,734.37075,261.458,390.963,471.0805,535.833,600.5855,680.703,810.208,939.713,1019.8305,1084.583,1149.3355,1229.453,1358.958,886.04525,898.99575
BVCL,37,619.85,637.45,36.15,272.74,601.3,175.44966,189.64034,-328.56,-186.6532,-98.8634,-27.91,43.0434,130.8332,272.74,414.6468,502.4366,573.39,644.3434,732.1332,874.04,355.83966,370.03034
BYKE,38.7,42.51,44,34.25,39.374,9.75,37.79645,38.02655,29.624,31.925,33.3485,34.499,35.6495,37.073,39.374,41.675,43.0985,44.249,45.3995,46.823,49.124,40.72145,40.95155
CALSOFT,11.49,39.11,40.73,10.9,22.554,29.83,17.727506,18.431494,-7.276,-0.23612,4.11906,7.639,11.15894,15.51412,22.554,29.59388,33.94906,37.469,40.98894,45.34412,52.384,26.676506,27.380494
CAMLINFINE,103.69,11.66,111.86,11.31,67.984,100.55,51.71501,54.08799,-32.566,-8.8362,5.8441,17.709,29.5739,44.2542,67.984,91.7138,106.3941,118.259,130.1239,144.8042,168.534,81.88001,84.25299
CAMPUS,229,104.67,245.5,102.17,183.46,143.33,160.269206,163.651794,40.13,73.95588,94.88206,111.795,128.70794,149.63412,183.46,217.28588,238.21206,255.125,272.03794,292.96412,326.79,203.268206,206.650794
CAMS,663,238.53,708.6,236.45,502.498,472.15,426.10413,437.24687,30.348,141.7754,210.7093,266.423,322.1367,391.0706,502.498,613.9254,682.8593,738.573,794.2867,863.2206,974.648,567.74913,578.89187
