Share,Opening,Closing,High,Lowest,Avg,h-l,-161.8,-138.2,-1,-76.4,-61.8,-50,-38.2,-23.6,Avg ,23.6,38.2,50,61.8,76.4,1,138.2,161.8
ASIANPAINT,2169,298.9,2336.9,290.1,1445.192,2046.8,1114.01976,1162.32424,-601.608,-118.5632,180.2696,421.792,663.3144,962.1472,1445.192,1928.2368,2227.0696,2468.592,2710.1144,3008.9472,3491.992,1728.05976,1776.36424
ASIANTILES,58.25,2360.7,2376.9,56.66,959.806,2320.24,584.391168,639.148832,-1360.434,-812.85736,-474.10232,-200.314,73.47432,412.22936,959.806,1507.38264,1846.13768,2119.926,2393.71432,2732.46936,3280.046,1280.463168,1335.220832
ASKAUTOLTD,438.75,69.53,447.4,60.5,287.398,386.9,224.79758,233.92842,-99.502,-8.1936,48.2938,93.948,139.6022,196.0896,287.398,378.7064,435.1938,480.848,526.5022,582.9896,674.298,340.86758,349.99842
ASMS,8.1,440.15,446,7.8,181.144,438.2,110.24324,120.58476,-257.056,-153.6408,-89.6636,-37.956,13.7516,77.7288,181.144,284.5592,348.5364,400.244,451.9516,515.9288,619.344,241.70324,252.04476
ASPINWALL,213.01,8.41,223.3,8.32,133.076,214.98,98.292236,103.365764,-81.904,-31.16872,0.21836,25.586,50.95364,82.34072,133.076,183.81128,215.19836,240.566,265.93364,297.32072,348.056,162.786236,167.859764
ASTEC,537,220.9,561,211.2,414.728,349.8,358.13036,366.38564,64.928,147.4808,198.5516,239.828,281.1044,332.1752,414.728,497.2808,548.3516,589.628,630.9044,681.9752,764.528,463.07036,471.32564
ASTERDM,658,658.95,677,545,641.178,132,619.8204,622.9356,509.178,540.33,559.602,575.178,590.754,610.026,641.178,672.33,691.602,707.178,722.754,742.026,773.178,659.4204,662.5356
ASTRAL,1553.5,681.8,1614.9,665,1185.182,949.9,1031.48818,1053.90582,235.282,459.4584,598.1438,710.232,822.3202,961.0056,1185.182,1409.3584,1548.0438,1660.132,1772.2202,1910.9056,2135.082,1316.45818,1338.87582
ASTRAMICRO,957.35,1630,1639.6,916.05,1221.796,723.55,1104.72561,1121.80139,498.246,669.0038,774.6421,860.021,945.3999,1051.0382,1221.796,1392.5538,1498.1921,1583.571,1668.9499,1774.5882,1945.346,1321.79061,1338.86639
ASTRAZEN,7800,1015.65,8000,1006.9,5093.098,6993.1,3961.61442,4126.65158,-1900.002,-249.6304,771.3622,1596.548,2421.7338,3442.7264,5093.098,6743.4696,7764.4622,8589.648,9414.8338,10435.8264,12086.198,6059.54442,6224.58158
ASTRON,3.8,8299,8412.5,3.6,3260.674,8408.9,1900.11398,2098.56402,-5148.226,-3163.7256,-1936.0262,-943.776,48.4742,1276.1736,3260.674,5245.1744,6472.8738,7465.124,8457.3742,9685.0736,11669.574,4422.78398,4621.23402
ATALREAL,24.3,4.8,24.9,4.01,16.34,20.89,12.959998,13.453002,-4.55,0.38004,3.42998,5.895,8.36002,11.40996,16.34,21.27004,24.31998,26.785,29.25002,32.29996,37.23,19.226998,19.720002
ATAM,53.7,25.24,61,24.48,44.75,36.52,38.841064,39.702936,8.23,16.84872,22.18064,26.49,30.79936,36.13128,44.75,53.36872,58.70064,63.01,67.31936,72.65128,81.27,49.797064,50.658936
ATGL,520.05,68.22,589,59.17,347.124,529.83,261.397506,273.901494,-182.706,-57.66612,19.68906,82.209,144.72894,222.08412,347.124,472.16388,549.51906,612.039,674.55894,751.91412,876.954,420.346506,432.850494
ATHERENERG,760,581.05,796.5,544.25,691.52,252.25,650.70595,656.65905,439.27,498.801,535.6295,565.395,595.1605,631.989,691.52,751.051,787.8795,817.645,847.4105,884.239,943.77,726.38095,732.33405
ATL,23.5,863.05,875.45,21.75,346.646,853.7,208.51734,228.66466,-507.054,-305.5808,-180.9406,-80.204,20.5326,145.1728,346.646,548.1192,672.7594,773.496,874.2326,998.8728,1200.346,464.62734,484.77466
ATLANTAA,37.75,24.94,43.01,24.25,33.442,18.76,30.406632,30.849368,14.682,19.10936,21.84832,24.062,26.27568,29.01464,33.442,37.86936,40.60832,42.822,45.03568,47.77464,52.202,36.034632,36.477368
ATLANTAELE,1228,41.72,1268,39.52,754.938,1228.48,556.169936,585.162064,-473.542,-183.62072,-4.26264,140.698,285.65864,465.01672,754.938,1044.85928,1224.21736,1369.178,1514.13864,1693.49672,1983.418,924.713936,953.706064
ATLASCYCLE,84.17,1310.4,1350.8,82.01,570.76,1268.79,365.469778,395.413222,-698.03,-398.59556,-213.35222,-63.635,86.08222,271.32556,570.76,870.19444,1055.43778,1205.155,1354.87222,1540.11556,1839.55,746.106778,776.050222
ATUL,6300,103.06,6423.5,85.5,3784.444,6338,2758.9556,2908.5324,-2553.556,-1057.788,-132.44,615.444,1363.328,2288.676,3784.444,5280.212,6205.56,6953.444,7701.328,8626.676,10122.444,4660.3556,4809.9324
ATULAUTO,414.8,6450,6520,402.35,2831.832,6117.65,1841.99623,1986.37277,-3285.818,-1842.0526,-948.8757,-226.993,494.8897,1388.0666,2831.832,4275.5974,5168.7743,5890.657,6612.5397,7505.7166,8949.482,3677.29123,3821.66777
AUBANK,880.95,435.55,972,430,716.304,542,628.6084,641.3996,174.304,302.216,381.348,445.304,509.26,588.392,716.304,844.216,923.348,987.304,1051.26,1130.392,1258.304,791.2084,803.9996
AURIGROW,0.28,981.8,986.25,0.28,389.25,985.97,229.720054,252.988946,-596.72,-364.03108,-220.07946,-103.735,12.60946,156.56108,389.25,621.93892,765.89054,882.235,998.57946,1142.53108,1375.22,525.511054,548.779946
AURIONPRO,774.2,0.31,850,0.3,480.696,849.7,343.21454,363.26746,-369.004,-168.4748,-44.4186,55.846,156.1106,280.1668,480.696,681.2252,805.2814,905.546,1005.8106,1129.8668,1330.396,598.12454,618.17746
AUROPHARMA,1344,869,1363,810.2,1138.868,552.8,1049.42496,1062.47104,586.068,716.5288,797.2376,862.468,927.6984,1008.4072,1138.868,1269.3288,1350.0376,1415.268,1480.4984,1561.2072,1691.668,1215.26496,1228.31104
AURUM,167.15,1349.4,1355,163,637.998,1192,445.1324,473.2636,-554.002,-272.69,-98.658,41.998,182.654,356.686,637.998,919.31,1093.342,1233.998,1374.654,1548.686,1829.998,802.7324,830.8636
AUTOAXLES,1663,171.59,1742,167.31,1074.782,1574.69,819.997158,857.159842,-499.908,-128.28116,101.62358,287.437,473.25042,703.15516,1074.782,1446.40884,1676.31358,1862.127,2047.94042,2277.84516,2649.472,1292.404158,1329.566842
AUTOBEES,248.8,1721,1737,245.47,831.512,1491.53,590.182446,625.382554,-660.018,-308.01692,-90.25354,85.747,261.74754,479.51092,831.512,1183.51308,1401.27646,1577.277,1753.27754,1971.04092,2323.042,1037.641446,1072.841554
AUTOIETF,25.49,273.59,274.45,24.59,123,249.86,82.572652,88.469348,-126.86,-67.89304,-31.41348,-1.93,27.55348,64.03304,123,181.96696,218.44652,247.93,277.41348,313.89304,372.86,157.530652,163.427348
AUTOIND,55.4,27.42,65.35,26.37,46.994,38.98,40.687036,41.606964,8.014,17.21328,22.90436,27.504,32.10364,37.79472,46.994,56.19328,61.88436,66.484,71.08364,76.77472,85.974,52.381036,53.300964
AVADHSUGAR,474,65.45,513.5,63.62,321.042,449.88,248.251416,258.868584,-128.838,-22.66632,43.01616,96.102,149.18784,214.87032,321.042,427.21368,492.89616,545.982,599.06784,664.75032,770.922,383.215416,393.832584
